,count,year,author1,author2
0,16,2019,33/1903,47/2026-7
0,4,2013,33/1903,117/5965
0,3,2019,33/1903,117/5965
0,6,2020,33/1903,117/5965
0,4,2022,33/1903,117/5965
0,6,2023,33/1903,117/5965
0,4,2022,33/1903,149/1342
0,6,2023,33/1903,149/1342
0,14,2012,33/1903,56/2998
0,4,2013,33/1903,56/2998
0,6,2015,33/1903,56/2998
0,8,2016,33/1903,56/2998
0,7,2017,33/1903,56/2998
0,2,2018,33/1903,56/2998
0,23,2019,33/1903,56/2998
0,25,2020,33/1903,56/2998
0,11,2021,33/1903,56/2998
0,22,2022,33/1903,56/2998
0,6,2023,33/1903,56/2998
0,6,2023,33/1903,268/2072
0,2,2005,33/1903,k/BenKao
0,3,2019,33/1903,k/BenKao
0,6,2020,33/1903,k/BenKao
0,6,2023,33/1903,k/BenKao
0,3,2021,33/1903,300/4385
0,12,2022,33/1903,300/4385
0,6,2022,33/1903,169/4023
0,6,2022,33/1903,85/2357
0,3,2017,33/1903,204/3387
0,25,2019,33/1903,204/3387
0,28,2020,33/1903,204/3387
0,15,2021,33/1903,204/3387
0,9,2022,33/1903,204/3387
0,11,2019,33/1903,147/1237
